#633-NPs water	
# Wavelength (nm)	%R
1156	32.41381454
1155	32.43201828
1154	32.40238953
1153	32.44989395
1152	32.47234344
1151	32.46335602
1150	32.45743942
1149	32.50448227
1148	32.48043823
1147	32.50996017
1146	32.514534
1145	32.54529953
1144	32.52908325
1143	32.56303787
1142	32.56970215
1141	32.57540131
1140	32.60577393
1139	32.61975861
1138	32.57369232
1137	32.64689255
1136	32.63550568
1135	32.65977097
1134	32.66527176
1133	32.68341064
1132	32.68815231
1131	32.70271683
1130	32.70175934
1129	32.74375916
1128	32.7204895
1127	32.75517273
1126	32.76263046
1125	32.7720871
1124	32.76398468
1123	32.80047607
1122	32.78181839
1121	32.79250717
1120	32.81617355
1119	32.84250259
1118	32.84572983
1117	32.83244324
1116	32.87543488
1115	32.85884094
1114	32.87300491
1113	32.88038254
1112	32.90676117
1111	32.90861511
1110	32.90691757
1109	32.91095734
1108	32.91152573
1107	32.92443466
1106	32.9382019
1105	32.92842102
1104	32.96028519
1103	32.96447372
1102	32.95981598
1101	32.95507813
1100	32.98444748
1099	32.97233963
1098	32.97734451
1097	33.03149033
1096	33.01198578
1095	33.00424957
1094	33.01536942
1093	33.01184464
1092	33.04711151
1091	33.05238342
1090	33.01183701
1089	33.02872849
1088	33.04613876
1087	33.0476532
1086	33.04036713
1085	33.05530548
1084	33.05990982
1083	33.05718231
1082	33.06112671
1081	33.0736084
1080	33.04095459
1079	33.0689621
1078	33.02259827
1077	33.06744003
1076	33.06894302
1075	33.06970215
1074	33.05685043
1073	33.07398987
1072	33.07376099
1071	33.06379318
1070	33.04657745
1069	33.07388306
1068	33.06044006
1067	33.02692032
1066	33.04771423
1065	33.04390717
1064	33.02783203
1063	33.01413345
1062	33.02375412
1061	33.00431061
1060	33.02467728
1059	32.95639038
1058	32.98171616
1057	32.93841171
1056	32.98508835
1055	32.93667603
1054	32.93299866
1053	32.98126602
1052	32.93096542
1051	32.90913391
1050	32.93392944
1049	32.91450882
1048	32.85689545
1047	32.889431
1046	32.8658638
1045	32.87080383
1044	32.83595657
1043	32.84057617
1042	32.82022476
1041	32.84339142
1040	32.78627777
1039	32.78170395
1038	32.73849106
1037	32.75978088
1036	32.71905899
1035	32.70051193
1034	32.66138458
1033	32.65254593
1032	32.65520096
1031	32.60950851
1030	32.61595535
1029	32.60970306
1028	32.56283569
1027	32.53174973
1026	32.5412941
1025	32.52586365
1024	32.49573898
1023	32.446064
1022	32.45862579
1021	32.41169739
1020	32.39292145
1019	32.3984375
1018	32.34749603
1017	32.29944611
1016	32.27045059
1015	32.27437973
1014	32.29156876
1013	32.24843597
1012	32.18740463
1011	32.22179794
1010	32.17121124
1009	32.12201691
1008	32.1331749
1007	32.05748749
1006	32.03334808
1005	32.04355621
1004	32.01093292
1003	31.92638397
1002	31.91800499
1001	31.89554596
1000	31.82395172
999	31.88471413
998	31.81955147
997	31.77272034
996	31.76815224
995	31.68891144
994	31.64587975
993	31.62439156
992	31.64116096
991	31.60988998
990	31.56028366
989	31.54417038
988	31.46515846
987	31.45464897
986	31.40127373
985	31.38105774
984	31.37026787
983	31.33648109
982	31.26758385
981	31.22740746
980	31.14488792
979	31.17130661
978	31.08621025
977	31.13853073
976	31.04239655
975	31.01812935
974	31.00053596
973	30.99625015
972	30.86284447
971	30.83417511
970	30.8201828
969	30.79257011
968	30.77066231
967	30.70314217
966	30.7051754
965	30.6312027
964	30.61421585
963	30.54257393
962	30.48136902
961	30.48700905
960	30.47889709
959	30.36244774
958	30.32037544
957	30.31688309
